,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Область,Район,Назва тергромади,Тип ТГ,Кодифікатор,TOT,"Населення тергромад (станом на 01.01.2020), тис.осіб","Населення тергромад (станом на 01.01.2021), тис.осіб",Площа (км. кв),Всього надходжень до місцевого бюджету (загальний фонд) (2020 рік),Всього надходжень до місцевого бюджету (загальний фонд) (2021 рік),"Приріст надходжень до місцевого бюджету (загальний фонд) 2020-2021 рр., %",Всього надходжень до місцевого бюджету (загальний фонд) (1 кв 2021 року)​,Всього надходжень до місцевого бюджету (загальний фонд) (1 кв 2022 року)​,Групи (млн. грн),"Приріст надходжень 1 кв. 2021 - 1 кв. 2022 , %",Частка місцевих податків в дохідній частині бюджету загального фонду (2020 рік),Частка місцевих податків в дохідній частині бюджету загального фонду (2021 рік),Частка місцевих податків в дохідній частині бюджету загального фонду (1 кв 2021 року)​,Частка місцевих податків в дохідній частині бюджету загального фонду (1 кв 2022 року)​,Групи,"Приріст частки місцевих податків 1 кв. 2021 - 1 кв. 2022 , %",Індекс податкоспроможності  (2021 рік),Реверсна дотація тергромад (2021 рік),Базова дотація тергромад (2021 рік),ПДФО (грн/1 особу),Індекс податкоспроможності (2022 рік),Реверсна дотація тергромад (2022 рік),Базова дотація тергромад (2022 рік),Надходження акцизу грн/на 1 жителя (2020 рік),Надходження акцизу грн/на 1 жителя (2021 рік),Надходження акцизу грн/на 1 жителя (1 кв 2021 року)​,Надходження акцизу грн/на 1 жителя (1 кв 2022 року)​,"групи, грн/особу","Приріст надходження акцизу 1 кв. 2021 - 1 кв. 2022 , %",Надходження плати за землю грн/на 1 жителя (2020 рік),Надходження плати за землю грн/на 1 жителя (2021 рік),Надходження плати за землю грн/на 1 жителя (1 кв 2021 року)​,Надходження плати за землю грн/на 1 жителя (1 кв 2022 року)​,"групи, грн/особу","Приріст надходження плати за землю 1 кв. 2021 - 1 кв. 2022 , %",Надходження єдиного податку грн/на 1 жителя (2020 рік),Надходження єдиного податку грн/на 1 жителя (2021 рік),Надходження єдиного податку грн/на 1 жителя (1 кв 2021 року)​,Надходження єдиного податку грн/на 1 жителя (1 кв 2022 року)​,"групи, грн/особу","Приріст надходження єдиного податку 1 кв. 2021 - 1 кв. 2022, %",Частка витрати на оплату праці загальнодержавних функцій (місцеве самоврядування) від дохідної частини бюджету загального фонду (2020 рік),Частка витрати на оплату праці загальнодержавних функцій (місцеве самоврядування) від дохідної частини бюджету загального фонду (2021 рік),Частка витрати на оплату праці загальнодержавних функцій (місцеве самоврядування) від дохідної частини бюджету загального фонду (І кв 2021 року),Частка витрати на оплату праці загальнодержавних функцій (місцеве самоврядування) від дохідної частини бюджету загального фонду (І кв 2022 року),"групи, %","Приріст частки витрат на оплату праці загальнодержавних функцій 1 кв. 2021 - 1 кв. 2022, %"
oblast,raion,hromada_name,hromada_type,hromada_code,tot,population_2020,population_2021,area_kmsq,tax_revenue_2020,tax_revenue_2021,tax_revenue_growth_2020_2021,tax_revenue_q1_2021,tax_revenue_q1_2022,tax_revenue_group,tax_revenue_growth_q1_2021_q1_2022,tax_revenue_share_2020,tax_revenue_share_2021,tax_revenue_share_q1_2021,tax_revenue_share_q1_2022,tax_revenue_share_group,tax_revenue_share_growth_q1_2021_q1_2022,tax_capacity_index_2021,reverse_grant_2021,basic_grant_2021,income_tax_uahpp,tax_capacity_index_2022,reverse_grant_2022,basic_grant_2022,duty_tax_uahpp_2020,duty_tax_uahpp_2021,duty_tax_uahpp_q1_2021,duty_tax_uahpp_q1_2022,duty_tax_group_uahpp,duty_tax_growth_q1_2021_q1_2022,land_tax_uahpp_2020,land_tax_uahpp_2021,land_tax_uahpp_q1_2021,land_tax_uahpp_q1_2022,land_tax_group_q1_2022,land_tax_growth_q1_2021_q1_2022,flat_tax_uahpp_2020,flat_tax_uahpp_2021,flat_tax_uahpp_q1_2021,flat_tax_uahpp_q1_2022,flat_tax_group,flat_tax_growth_q1_2021_2022q2,labour_cost_share_2020,labour_cost_share_2021,labour_cost_share_q1_2021,labour_cost_share_q1_2022,labour_cost_share_group,labour_cost_growth_q1_2021_q1_2022
Місто Київ,,Київ,міська територіальна громада,UA80000000000093317,,,2962.18,,,,,"12,819,812.2","14,789,359.5",більше 100,15.4%,,30.5,,28.90,20-40,,,,,,0,0,0,,811,,144.7,100-200,,,1682.8,,115.43,100-200,,,3144.1,,987.36,більше 500,,,7.4,3.8%,3.2%,менше 10,-15.3%
Дніпропетровська область,Дніпровський район,Дніпровська,міська територіальна громада,UA12020010000033698,,993.22,983.515,406,11878597.13,12260135.66,3.2%,2704344.611,3145871.013,більше 100,16.3%,27.94700618,34.16979481,36.12,30.76,20-40,-14.8%,1.792217722,1107620.1,0,5593.155934,1.787195424,1184370.8,0,528.7373672,610.3023828,141.5,119.3,100-200,-15.6%,1486.286029,1872.861485,214.76,120.65,100-200,-43.8%,1505.739664,1887.711806,477.4,586.66,більше 500,22.9%,8.46,4.29,4.9%,4.1%,менше 10,-15.5%
Донецька область,Маріупольський район,Маріупольська,міська територіальна громада,UA14140050000020560,,446.336,441.489,375.3,4467877.446,4140347.088,-7.3%,983457.6207,930209.7637,більше 100,-5.4%,11.52953546,14.53618221,14.28,15.30,10-20,7.2%,1.622568878,444239.9,0,5063.715551,1.577835245,435422.7,0,302.8351904,363.6126095,94.9,61.9,50-100,-34.7%,486.8675895,517.1091195,95.18,95.82,50-100,0.7%,387.1425982,482.23735,142.9,158.30,100-200,10.8%,7.27,5.94,5.4%,4.8%,менше 10,-12.0%
Харківська область,Ізюмський район,Донецька,селищна територіальна громада,UA63040070000092606,,22.886,22.677,344.7,227788.4601,367174.569,61.2%,60755.69351,112276.6479,більше 100,84.8%,9.010560113,7.332692804,11.57,5.65,менше 10,-51.2%,2.266663645,42988.4,0,7073.807529,2.022490551,36280,0,116.8340319,147.9935593,31.2,23.3,менше 25,-25.1%,360.1636597,423.1108499,32.28,35.80,25-50,10.9%,379.6719683,503.7751251,141.3,150.49,100-200,6.5%,4.89,6.01,5.8%,4.9%,менше 10,-14.7%
Чернігівська область,Чернігівський район,Чернігівська,міська територіальна громада,UA74100390000073425,,286.899,285.234,78.6,2496452.124,2364002.545,-5.3%,529864.007,544855.8355,більше 100,2.8%,22.73485469,28.3651876,30.12,28.61,20-40,-5.0%,1.178123794,35282.2,0,3676.690623,1.199778189,48700.8,0,616.6724943,734.1503821,161.8,113.2,100-200,-30.0%,791.9245552,864.9754733,108.89,78.85,50-100,-27.6%,1082.958839,1334.512064,330.0,376.64,200-500,14.1%,6.94,5.51,6.7%,5.2%,менше 10,-21.4%
Запорізька область,Василівський район,Малобілозерська,сільська територіальна громада,UA23040150000063069,,12.664,12.426,623.4,94903.68703,315110.9257,232.0%,63699.83955,63095.24704,50-100,-0.9%,37.59704422,12.58706653,13.05,15.06,10-20,15.4%,0.476799186,0,13394.3,1487.995661,3.811027788,57503.2,0,319.799574,329.0845535,64.3,41.5,25-50,-35.5%,1892.98265,2117.178917,16.83,25.20,25-50,49.7%,774.0146431,855.4324802,176.8,198.04,100-200,12.0%,18.68,5.93,6.0%,5.5%,менше 10,-8.0%
Київська область,Бучанський район,Вишнева,міська територіальна громада,UA32080090000011038,,47.305,48.357,17.6,677708.0568,770812.6477,13.7%,167707.1459,186041.5521,більше 100,10.9%,29.20533945,32.30559892,34.55,32.61,20-40,-5.6%,2.126526945,82056.7,0,6636.468691,2.132881745,89642.3,0,1062.239914,1282.89202,291.7,211.4,більше 200,-27.5%,1302.405323,1328.86741,245.05,173.21,100-200,-29.3%,2000.754018,2792.020463,691.7,869.51,більше 500,25.7%,5.81,5.16,4.4%,5.7%,менше 10,28.6%
Одеська область,Одеський район,Одеська,міська територіальна громада,UA51100270000073549,,1017.699,1015.826,161.2,9262385.204,9396658.99,1.4%,2085020.255,2330821.897,більше 100,11.8%,24.19072175,29.21245152,30.72,28.51,20-40,-7.2%,1.328168128,372430.5,0,4144.949219,1.31901473,388225.9,0,512.566865,614.8353922,130.6,110.7,100-200,-15.3%,603.3957095,651.6177799,72.99,58.13,50-100,-20.4%,1235.725933,1541.301364,385.3,444.34,200-500,15.3%,11.80,6.34,6.8%,6.0%,менше 10,-12.1%
