register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
32,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2015-12-28T00:00:00Z,"Чигиринська міська рада (м. Чигирин, вул. Богдана Хмельницького, 19, Черкаська обл. тел. (04730) 2-57-32)","Реалізація спільного проекту «Вирішимо проблему разом», що передбачає забезпечення соціально-економічного, культурного розвитку територій, підвищення якості надання послуг населенню на основі спільних інтересів та цілей, ефективного виконання органами місцевого самоврядування визначених законом повноважень",2016-01-01,2019-01-01,5,с. Іванівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Іванівка,Іванівка,7125482001,UA71080510000028067,Чигиринська
32,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2015-12-28T00:00:00Z,"Чигиринська міська рада (м. Чигирин, вул. Богдана Хмельницького, 19, Черкаська обл. тел. (04730) 2-57-32)","Реалізація спільного проекту «Вирішимо проблему разом», що передбачає забезпечення соціально-економічного, культурного розвитку територій, підвищення якості надання послуг населенню на основі спільних інтересів та цілей, ефективного виконання органами місцевого самоврядування визначених законом повноважень",2016-01-01,2019-01-01,6,с. Галаганівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Галаганівка,Галаганівка,7125410102,UA71080510000028067,Чигиринська
32,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2015-12-28T00:00:00Z,"Чигиринська міська рада (м. Чигирин, вул. Богдана Хмельницького, 19, Черкаська обл. тел. (04730) 2-57-32)","Реалізація спільного проекту «Вирішимо проблему разом», що передбачає забезпечення соціально-економічного, культурного розвитку територій, підвищення якості надання послуг населенню на основі спільних інтересів та цілей, ефективного виконання органами місцевого самоврядування визначених законом повноважень",2016-01-01,2019-01-01,7,с. Вершаці,Чигиринський,Черкаська,Черкаська Чигиринський с. Вершаці,Вершаці,7125481001,UA71080510000028067,Чигиринська
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,1,с. Старий Лисець,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Старий Лисець,Старий Лисець,2625885801,UA26040210000094444,Лисецька
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,3,с. Драгомирчани,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Драгомирчани,Драгомирчани,2625880901,UA26040190000081578,Івано-Франківська
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,4,с. Радча,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Радча,Радча,2625884701,UA26040190000081578,Івано-Франківська
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,5,с. Підлісся,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Підлісся,Підлісся,2625884401,UA26040170000097347,Загвіздянська
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,6,с. Стебник,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Стебник,Стебник,2625885901,UA26040210000094444,Лисецька
33,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Співробітництво територіальних громад Старолисецького мікрорегіону в сфері поводження з твердими побутовими відходами»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-2-49)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,7,с. Посіч,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Посіч,Посіч,2625884601,UA26040210000094444,Лисецька
34,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Об’єднання зусиль у боротьбі із повенями шляхом відбудови та благоустрою Лисецької громади»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-0-43)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,1,с. Старий Лисець,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Старий Лисець,Старий Лисець,2625885801,UA26040210000094444,Лисецька
34,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Об’єднання зусиль у боротьбі із повенями шляхом відбудови та благоустрою Лисецької громади»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-0-43)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,3,с. Драгомирчани,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Драгомирчани,Драгомирчани,2625880901,UA26040190000081578,Івано-Франківська
34,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Об’єднання зусиль у боротьбі із повенями шляхом відбудови та благоустрою Лисецької громади»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-0-43)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,4,с. Підлісся,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Підлісся,Підлісся,2625884401,UA26040170000097347,Загвіздянська
34,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Об’єднання зусиль у боротьбі із повенями шляхом відбудови та благоустрою Лисецької громади»,2016-03-14T00:00:00Z,"Старолисецька сільська рада (с. Старий Лисець, вул. І.Франка, 1, Тисменицький р-н, Івано-Франківської обл. starolysetc@ukr.net тел. (03436) 45-0-43)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-01-01,2016-12-31,5,с. Стебник,Тисменицький,Івано-Франківська,Івано-Франківська Тисменицький с. Стебник,Стебник,2625885901,UA26040210000094444,Лисецька
35,Договір про співробітництво територіальних громад в частині реалізації спільного проекту «Шлях до об’єднання: ремонт дороги місцевого значення Лісова Слобідка-Городище»,2016-04-01T00:00:00Z,"Постав-Муківська сільська рада (с. Постав-Мука, вул. Плавківська, 22 А, Чорнухинський р-н, Полтавської обл.)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-03-28,2017-12-31,1,с. Постав-Мука,Чорнухинський,Полтавська,Полтавська Чорнухинський с. Постав-Мука,Постав-Мука,5325183801,UA53040130000097690,Чорнухинська
35,Договір про співробітництво територіальних громад в частині реалізації спільного проекту «Шлях до об’єднання: ремонт дороги місцевого значення Лісова Слобідка-Городище»,2016-04-01T00:00:00Z,"Постав-Муківська сільська рада (с. Постав-Мука, вул. Плавківська, 22 А, Чорнухинський р-н, Полтавської обл.)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-03-28,2017-12-31,2,с. Вороньки,Чорнухинський,Полтавська,Полтавська Чорнухинський с. Вороньки,Вороньки,5325180801,UA53040130000097690,Чорнухинська
35,Договір про співробітництво територіальних громад в частині реалізації спільного проекту «Шлях до об’єднання: ремонт дороги місцевого значення Лісова Слобідка-Городище»,2016-04-01T00:00:00Z,"Постав-Муківська сільська рада (с. Постав-Мука, вул. Плавківська, 22 А, Чорнухинський р-н, Полтавської обл.)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-03-28,2017-12-31,3,с. Мелехи,Чорнухинський,Полтавська,Полтавська Чорнухинський с. Мелехи,Мелехи,5325182601,UA53040130000097690,Чорнухинська
36,Договір про співробітництво територіальних громад в частині делегування виконання завдань,2016-04-12T00:00:00Z,"Гребінківська міська рада (м. Гребінка, вул. Ярослава Мудрого, 35, Полтавської обл. тел. (05359) 91267)",Делегування виконання окремих завдань з передачею відповідних ресурсів,2016-03-31,2020-12-31,1,м. Гребінка,NA,Полтавська,Полтавська м. Гребінка,Гребінка,5320810100,UA53040010000091190,Гребінківська
37,"Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Побудова ЕКО - Громади через співробітництво Вищетарасівської, Виводівської, Володимирівської та Новокиївської громад»",2016-04-28T00:00:00Z,"Вищетарасівська сільська рада (с. Вищетарасівка, вул. Центральна, 7, Томаківський р-н, Дніпропетровської обл. тел. (05668) 36-5-93)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-18,2016-12-31,1,с. Вищетарасівка,Томаківський,Дніпропетровська,Дніпропетровська Томаківський с. Вищетарасівка,Вищетарасівка,1225485505,UA12080030000022466,Мирівська
37,"Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Побудова ЕКО - Громади через співробітництво Вищетарасівської, Виводівської, Володимирівської та Новокиївської громад»",2016-04-28T00:00:00Z,"Вищетарасівська сільська рада (с. Вищетарасівка, вул. Центральна, 7, Томаківський р-н, Дніпропетровської обл. тел. (05668) 36-5-93)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-18,2016-12-31,2,с. Виводове,Томаківський,Дніпропетровська,Дніпропетровська Томаківський с. Виводове,Виводове,1225485503,UA12080030000022466,Мирівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,2,с.Боровиця,Чигиринський,Черкаська,Черкаська Чигиринський с. Боровиця,Боровиця,7125480501,UA71080370000064287,Сагунівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,3,с.Вершаці,Чигиринський,Черкаська,Черкаська Чигиринський с. Вершаці,Вершаці,7125481001,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,4,с.Галаганівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Галаганівка,Галаганівка,7125410102,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,5,с.Головківка,Чигиринський,Черкаська,Черкаська Чигиринський с. Головківка,Головківка,7125483502,UA71080230000065521,Медведівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,7,с.Іванівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Іванівка,Іванівка,7125482001,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,8,с.Красносілля,Чигиринський,Черкаська,Черкаська Чигиринський с. Красносілля,Красносілля,7125410103,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,9,с.Матвіївка,Чигиринський,Черкаська,Черкаська Чигиринський с. Матвіївка,Матвіївка,7125410104,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,10,с.Медведівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Медведівка,Медведівка,7125483501,UA71080230000065521,Медведівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,11,с.Мельники,Чигиринський,Черкаська,Черкаська Чигиринський с. Мельники,Мельники,7125484001,UA71080230000065521,Медведівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,12,с.Новоселиця,Чигиринський,Черкаська,Черкаська Чигиринський с. Новоселиця,Новоселиця,7125484501,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,13,с.Рацеве,Чигиринський,Черкаська,Черкаська Чигиринський с. Рацеве,Рацеве,7125485001,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,14,с.Стецівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Стецівка,Стецівка,7125410108,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,15,с.Суботів,Чигиринський,Черкаська,Черкаська Чигиринський с. Суботів,Суботів,7125410109,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,16,с.Тіньки,Чигиринський,Черкаська,Черкаська Чигиринський с. Тіньки,Тіньки,7125410110,UA71080510000028067,Чигиринська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,18,с.Топилівка,Чигиринський,Черкаська,Черкаська Чигиринський с. Топилівка,Топилівка,7125487001,UA71080370000064287,Сагунівська
38,Договір про співробітництво територіальних громад у формі реалізації спільного проекту «Якісні дороги – міст для об’єднання громад»,2016-06-01T00:00:00Z,"Чигиринська міська рада (м.Чигирин, вул. Б.Хмельницького, 19, Чигиринський р-н, Черкаська обл., тел.(04730) 2-59-77)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2016-04-25,2019-04-25,19,с.Худоліївка,Чигиринський,Черкаська,Черкаська Чигиринський с. Худоліївка,Худоліївка,7125488001,UA71080230000065521,Медведівська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,1,с. Щербані,Полтавський,Полтавська,Полтавська Полтавський с. Щербані,Щербані,5324087701,UA53080470000053547,Щербанівська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,2,с. Абазівка,Полтавський,Полтавська,Полтавська Полтавський с. Абазівка,Абазівка,5324080101,UA53080370000025447,Полтавська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,3,с. Бричківка,Полтавський,Полтавська,Полтавська Полтавський с. Бричківка,Бричківка,5324080201,UA53080370000025447,Полтавська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,4,с. Валок,Полтавський,Полтавська,Полтавська Полтавський с. Валок,Валок,5324080301,UA53080370000025447,Полтавська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,5,с. Василівка,Полтавський,Полтавська,Полтавська Полтавський с. Василівка,Василівка,5324080501,UA53080150000085889,Коломацька
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,6,с. Гожули,Полтавський,Полтавська,Полтавська Полтавський с. Гожули,Гожули,5324080701,UA53080370000025447,Полтавська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,7,с. Заворскло,Полтавський,Полтавська,Полтавська Полтавський с. Заворскло,Заворскло,5324081001,UA53080430000085474,Терешківська
39,Договір про утворення спільної архівної установи,2016-06-07T00:00:00Z,"Щербанівська сільська рада (с. Щербані, вул. Центральна, 2, Полтавський р-н, Полтавської обл., тел. (0532) 68-77-09)",Утворення спільної архівної установи з передачею відповідних ресурсів на її утримання,2016-04-06,2023-05-09,8,с. Калашники,Полтавський,Полтавська,Полтавська Полтавський с. Калашники,Калашники,5324081301,UA53080230000047239,Мачухівська
