register_number,start,end,active_2402,hromada_code.x,hromada_name.x,hromada_code.y,hromada_name.y
3,2015-02-12,2023-04-10,1,UA53020150000098867,Оболонська,UA53020230000086353,Семенівська
3,2015-02-12,2023-04-10,1,UA53020230000086353,Семенівська,UA53020150000098867,Оболонська
5,2015-03-17,2023-04-10,1,UA53080390000027656,Решетилівська,UA53080230000047239,Мачухівська
5,2015-03-17,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080390000027656,Решетилівська
6,2015-03-20,2023-04-10,1,UA53060190000015369,Лохвицька,UA53060130000040567,Заводська
6,2015-03-20,2023-04-10,1,UA53060130000040567,Заводська,UA53060190000015369,Лохвицька
7,2015-03-31,2023-04-10,1,UA53080370000025447,Полтавська,UA53080330000062155,Новоселівська
7,2015-03-31,2023-04-10,1,UA53080370000025447,Полтавська,UA53080150000085889,Коломацька
7,2015-03-31,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080370000025447,Полтавська
7,2015-03-31,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53080370000025447,Полтавська
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53080430000085474,Терешківська
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53080230000047239,Мачухівська
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53080330000062155,Новоселівська
39,2016-04-06,2023-04-10,1,UA53080470000053547,Щербанівська,UA53020090000045206,Козельщинська
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080470000053547,Щербанівська
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080430000085474,Терешківська
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080230000047239,Мачухівська
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53080330000062155,Новоселівська
39,2016-04-06,2023-04-10,1,UA53080370000025447,Полтавська,UA53020090000045206,Козельщинська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53080470000053547,Щербанівська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53080370000025447,Полтавська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53080430000085474,Терешківська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53080230000047239,Мачухівська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53080330000062155,Новоселівська
39,2016-04-06,2023-04-10,1,UA53080150000085889,Коломацька,UA53020090000045206,Козельщинська
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53080470000053547,Щербанівська
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53080370000025447,Полтавська
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53080230000047239,Мачухівська
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53080330000062155,Новоселівська
39,2016-04-06,2023-04-10,1,UA53080430000085474,Терешківська,UA53020090000045206,Козельщинська
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080470000053547,Щербанівська
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080370000025447,Полтавська
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080430000085474,Терешківська
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53080330000062155,Новоселівська
39,2016-04-06,2023-04-10,1,UA53080230000047239,Мачухівська,UA53020090000045206,Козельщинська
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080470000053547,Щербанівська
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080370000025447,Полтавська
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080150000085889,Коломацька
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080430000085474,Терешківська
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080230000047239,Мачухівська
39,2016-04-06,2023-04-10,1,UA53080330000062155,Новоселівська,UA53020090000045206,Козельщинська
42,2016-06-17,2023-04-10,1,UA53080310000072384,Новосанжарська,UA53080290000024637,Нехворощанська
42,2016-06-17,2023-04-10,1,UA53080290000024637,Нехворощанська,UA53080310000072384,Новосанжарська
43,2016-06-01,2023-04-10,1,UA71080510000028067,Чигиринська,UA71080370000064287,Сагунівська
43,2016-06-01,2023-04-10,1,UA71080370000064287,Сагунівська,UA71080510000028067,Чигиринська
45,2016-09-19,2023-04-10,1,UA53080370000025447,Полтавська,UA53080330000062155,Новоселівська
45,2016-09-19,2023-04-10,1,UA53080330000062155,Новоселівська,UA53080370000025447,Полтавська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07040090000043197,Сошичненська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07060170000059479,Забродівська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07060350000084520,Самарівська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07060010000090019,Велимченська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07040030000028082,Любешівська
47,2016-09-26,2023-04-10,1,UA07040010000033507,Камінь-Каширська,UA07060370000022360,Сереховичівська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07040010000033507,Камінь-Каширська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07060170000059479,Забродівська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07060350000084520,Самарівська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07060010000090019,Велимченська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07040030000028082,Любешівська
47,2016-09-26,2023-04-10,1,UA07040090000043197,Сошичненська,UA07060370000022360,Сереховичівська
48,2016-10-10,2023-04-10,1,UA32040210000086086,Яготинська,UA53040090000048649,Пирятинська
48,2016-10-10,2023-04-10,1,UA53040090000048649,Пирятинська,UA32040210000086086,Яготинська
51,2016-10-10,2023-04-10,1,UA71080410000061690,Степанецька,UA71080070000050993,Бобрицька
51,2016-10-10,2023-04-10,1,UA71080410000061690,Степанецька,UA71080210000074132,Ліплявська
51,2016-10-10,2023-04-10,1,UA71080410000061690,Степанецька,UA71080150000071745,Канівська
51,2016-10-10,2023-04-10,1,UA71080070000050993,Бобрицька,UA71080410000061690,Степанецька
